date,year,month,month_name,day,day_name,week_of_year,quarter
2022-07-27,2022,7,July,27,Wednesday,30,3
2022-08-11,2022,8,August,11,Thursday,32,3
2022-09-23,2022,9,September,23,Friday,38,3
2022-06-22,2022,6,June,22,Wednesday,25,2
2022-09-07,2022,9,September,7,Wednesday,36,3
2022-08-18,2022,8,August,18,Thursday,33,3
2022-09-15,2022,9,September,15,Thursday,37,3
2022-07-20,2022,7,July,20,Wednesday,29,3
2022-04-01,2022,4,April,1,Friday,13,2
2022-03-17,2022,3,March,17,Thursday,11,1
2022-03-11,2022,3,March,11,Friday,10,1
2022-02-24,2022,2,February,24,Thursday,8,1
2022-05-20,2022,5,May,20,Friday,20,2
2022-03-25,2022,3,March,25,Friday,12,1
2022-09-29,2022,9,September,29,Thursday,39,3
2022-08-10,2022,8,August,10,Wednesday,32,3
2022-03-24,2022,3,March,24,Thursday,12,1
2022-01-28,2022,1,January,28,Friday,4,1
2002-06-21,2002,6,June,21,Friday,25,2
2022-04-15,2022,4,April,15,Friday,15,2
2021-02-11,2021,2,February,11,Thursday,6,1
2021-10-14,2021,10,October,14,Thursday,41,4
2022-03-18,2022,3,March,18,Friday,11,1
2022-04-22,2022,4,April,22,Friday,16,2
2022-02-18,2022,2,February,18,Friday,7,1
2022-01-12,2022,1,January,12,Wednesday,2,1
2020-10-08,2020,10,October,8,Thursday,41,4
2022-10-12,2022,10,October,12,Wednesday,41,4
2009-08-28,2009,8,August,28,Friday,35,3
2009-07-24,2009,7,July,24,Friday,30,3
2022-01-07,2022,1,January,7,Friday,1,1
2022-09-27,2022,9,September,27,Tuesday,39,3
2022-02-25,2022,2,February,25,Friday,8,1
2022-07-24,2022,7,July,24,Sunday,29,3
2017-09-26,2017,9,September,26,Tuesday,39,3
2021-05-25,2021,5,May,25,Tuesday,21,2
2021-11-24,2021,11,November,24,Wednesday,47,4
2022-05-13,2022,5,May,13,Friday,19,2
2021-10-01,2021,10,October,1,Friday,39,4
2019-09-04,2019,9,September,4,Wednesday,36,3
2022-07-15,2022,7,July,15,Friday,28,3
2021-12-02,2021,12,December,2,Thursday,48,4
2022-06-03,2022,6,June,3,Friday,22,2
2022-01-21,2022,1,January,21,Friday,3,1
2021-03-31,2021,3,March,31,Wednesday,13,1
2022-09-16,2022,9,September,16,Friday,37,3
2022-04-21,2022,4,April,21,Thursday,16,2
2021-06-30,2021,6,June,30,Wednesday,26,2
2021-08-12,2021,8,August,12,Thursday,32,3
2001-07-01,2001,7,July,1,Sunday,26,3
2020-10-25,2020,10,October,25,Sunday,43,4
2021-06-28,2021,6,June,28,Monday,26,2
2022-06-07,2022,6,June,7,Tuesday,23,2
2013-07-18,2013,7,July,18,Thursday,29,3
2003-08-08,2003,8,August,8,Friday,32,3
2022-08-24,2022,8,August,24,Wednesday,34,3
2022-05-09,2022,5,May,9,Monday,19,2
2021-06-11,2021,6,June,11,Friday,23,2
2022-08-13,2022,8,August,13,Saturday,32,3
2022-02-05,2022,2,February,5,Saturday,5,1
2018-10-18,2018,10,October,18,Thursday,42,4
2021-05-21,2021,5,May,21,Friday,20,2
2021-10-29,2021,10,October,29,Friday,43,4
2021-07-21,2021,7,July,21,Wednesday,29,3
2020-07-09,2020,7,July,9,Thursday,28,3
2022-01-14,2022,1,January,14,Friday,2,1
2013-01-14,2013,1,January,14,Monday,3,1
2011-07-30,2011,7,July,30,Saturday,30,3
1998-10-16,1998,10,October,16,Friday,42,4
2012-10-23,2012,10,October,23,Tuesday,43,4
2009-10-20,2009,10,October,20,Tuesday,43,4
2021-07-29,2021,7,July,29,Thursday,30,3
2016-06-08,2016,6,June,8,Wednesday,23,2
2013-06-20,2013,6,June,20,Thursday,25,2
2018-09-05,2018,9,September,5,Wednesday,36,3
2021-07-25,2021,7,July,25,Sunday,29,3
2021-07-23,2021,7,July,23,Friday,29,3
2014-04-17,2014,4,April,17,Thursday,16,2
2011-10-17,2011,10,October,17,Monday,42,4
2007-08-25,2007,8,August,25,Saturday,34,3
2022-09-22,2022,9,September,22,Thursday,38,3
2005-06-07,2005,6,June,7,Tuesday,23,2
2005-02-08,2005,2,February,8,Tuesday,6,1
2021-10-28,2021,10,October,28,Thursday,43,4
2021-01-26,2021,1,January,26,Tuesday,4,1
2015-09-15,2015,9,September,15,Tuesday,38,3
2018-08-09,2018,8,August,9,Thursday,32,3
2017-10-23,2017,10,October,23,Monday,43,4
2019-10-10,2019,10,October,10,Thursday,41,4
2021-05-26,2021,5,May,26,Wednesday,21,2
2010-01-21,2010,1,January,21,Thursday,3,1
2022-10-06,2022,10,October,6,Thursday,40,4
1978-10-24,1978,10,October,24,Tuesday,43,4
1988-11-09,1988,11,November,9,Wednesday,45,4
