genre_id,genre_names
1,"Horror, Thriller"
2,"Adventure, Drama, Horror"
3,"Horror, Mystery, Thriller"
4,Horror
5,"Horror, Mystery, Science Fiction, Thriller"
6,"Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War"
7,"Horror, Music, Thriller"
8,"Horror, Mystery"
9,"Comedy, Horror"
10,"Action, Comedy, Fantasy, Horror"
11,"Fantasy, Horror, Mystery, Thriller"
12,"Drama, Horror"
13,"Comedy, Horror, War"
14,"Crime, Drama, Horror, Mystery, Thriller"
15,"Comedy, Horror, Thriller, TV Movie"
16,"Action, Horror, Science Fiction"
17,"Action, Adventure, Horror, Thriller"
18,"Adventure, Animation, Comedy, Family, Fantasy, Horror"
19,"Fantasy, Horror"
20,"Drama, Horror, Thriller"
21,"Comedy, Horror, Music"
22,"Action, Fantasy, Horror, Thriller, War"
23,"Action, Horror, Thriller"
24,"Adventure, Comedy, Family, Fantasy, Horror"
25,"Action, Horror"
26,"Horror, Science Fiction, Thriller"
27,"Documentary, Horror"
28,"Adventure, Horror, Mystery, Thriller"
29,"Fantasy, Horror, Mystery, Romance, Thriller"
30,"Animation, Comedy, Drama, Fantasy, Horror"
31,"Action, Animation, Comedy, Horror, Mystery, Thriller"
32,"Action, Drama, Horror, Science Fiction, Thriller"
33,"Action, Fantasy, Horror"
34,"Drama, Horror, Mystery"
35,"Animation, Comedy, Family, Fantasy, Horror"
36,"Drama, Horror, Science Fiction, Thriller"
37,"Fantasy, Horror, Mystery"
38,"Drama, Horror, Science Fiction"
39,"Animation, Comedy, Family, Fantasy, Horror, Mystery"
40,"Action, Crime, Horror, Thriller"
41,"Comedy, Horror, Thriller"
42,"Action, Horror, Science Fiction, Thriller"
43,"Crime, Horror, Mystery"
44,"Drama, Horror, Mystery, Thriller"
45,"Family, Fantasy, Horror"
46,"Drama, Fantasy, Horror, Thriller"
47,"Horror, Romance"
48,"Horror, Mystery, Science Fiction"
49,"Action, Fantasy, Horror, Science Fiction, Thriller"
50,"Adventure, Comedy, Horror"
51,"Drama, Horror, TV Movie"
52,"Drama, Fantasy, Horror"
53,"Drama, Fantasy, Horror, Mystery"
54,"Action, Fantasy, Horror, Science Fiction"
55,"Action, Fantasy, Horror, Thriller"
56,"Animation, Family, Fantasy, Horror"
57,"Horror, Science Fiction"
58,"Action, Horror, Science Fiction, TV Movie"
59,"Crime, Horror, Mystery, Thriller"
60,"Action, Adventure, Horror"
61,"Crime, Horror, Thriller"
62,"Action, Horror, War"
63,"Horror, TV Movie"
64,"Action, Horror, Mystery, Science Fiction"
65,"Crime, Drama, Horror, Thriller"
66,"Action, Comedy, Horror"
67,"Crime, Drama, Horror"
68,"Adventure, Horror, Thriller"
69,"Action, Adventure, Horror, Science Fiction"
70,"Drama, Fantasy, Horror, Mystery, Thriller"
71,"Comedy, Horror, Mystery"
72,"Adventure, Animation, Drama, Horror, Mystery"
73,"Crime, Horror"
74,"Family, Horror, Mystery"
75,"Adventure, Fantasy, Horror, Mystery, Science Fiction, TV Movie"
76,"Comedy, Fantasy, Horror"
77,"Adventure, Horror"
78,"Action, Animation, Horror"
79,"Action, Comedy, Horror, Science Fiction"
80,"Fantasy, Horror, Thriller"
81,"Action, Comedy, Horror, Thriller"
82,"Comedy, Horror, Science Fiction"
83,"Comedy, Crime, Horror, Thriller"
84,"Fantasy, Horror, Thriller, War"
85,"Action, Adventure, Fantasy, Horror, Thriller"
86,"Action, Animation, Fantasy, Horror"
87,"Drama, History, Horror, Thriller"
88,"Action, Adventure, Animation, Horror, Mystery, Science Fiction"
89,"Horror, Science Fiction, War"
90,"Horror, Music, Mystery, Thriller"
91,"Animation, Horror, Mystery, Science Fiction"
92,"Comedy, Fantasy, Horror, Thriller"
93,"Comedy, Horror, Romance"
94,"Adventure, Fantasy, Horror, Mystery, Science Fiction, Thriller"
95,"Animation, Comedy, Drama, Fantasy, Horror, Mystery"
96,"Action, Adventure, Comedy, Horror, Science Fiction"
97,"Drama, History, Horror"
98,"Action, Horror, Mystery"
99,"Action, Adventure, Animation, Horror"
100,"Action, Drama, Horror, Science Fiction"
101,"Animation, Drama, History, Horror"
102,"Adventure, Drama, Horror, Thriller"
103,"Adventure, Animation, Comedy, Family, Horror"
104,"Adventure, Family, Fantasy, Horror"
105,"Action, Adventure, Comedy, Fantasy, Horror, Science Fiction"
106,"Adventure, Animation, Comedy, Family, Fantasy, Horror, Mystery"
107,"Comedy, Fantasy, Horror, Romance"
108,"Action, Animation, Horror, Science Fiction"
109,"Comedy, Horror, Romance, Thriller"
110,"Action, Drama, Fantasy, Horror, War"
111,"Animation, Horror"
112,"Adventure, Animation, Fantasy, Horror, Science Fiction"
113,"Action, Comedy, Horror, Science Fiction, Thriller"
114,"Action, Adventure, Animation, Family, Fantasy, History, Horror"
115,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller"
116,"Comedy, Fantasy, Horror, Science Fiction"
117,"Animation, Horror, Science Fiction, Thriller"
118,"Action, Horror, Mystery, Science Fiction, Thriller"
119,"Comedy, Drama, Horror"
120,"Action, Animation, Fantasy, Horror, Mystery"
121,"Family, Horror, TV Movie"
122,"Drama, Horror, Mystery, Science Fiction, Thriller"
123,"Action, Drama, Horror"
124,"Animation, Fantasy, Horror, Science Fiction"
125,"Adventure, Animation, Comedy, Family, Fantasy, Horror, Music"
126,"Action, Fantasy, Horror, Western"
127,"Action, Horror, TV Movie"
128,"Comedy, Horror, Mystery, Thriller"
129,"Crime, Fantasy, Horror, Thriller"
130,"Adventure, Fantasy, Horror, Mystery"
131,"Action, Drama, Horror, Thriller"
132,"Fantasy, Horror, Science Fiction"
133,"Action, Fantasy, Horror, Mystery"
134,"Horror, Western"
135,"Drama, Horror, Music, Thriller"
136,"Action, Comedy, Horror, Western"
137,"Animation, Fantasy, Horror"
138,"Horror, Science Fiction, TV Movie"
139,"Horror, Music"
140,"Fantasy, Horror, Science Fiction, Thriller"
141,"Adventure, Comedy, Family, Fantasy, Horror, TV Movie"
142,"Action, Horror, Mystery, Thriller"
143,"Adventure, Animation, Comedy, Family, Fantasy, Horror, Mystery, Science Fiction"
144,"Animation, Drama, Horror"
145,"Comedy, Drama, Fantasy, Horror"
146,"Drama, Fantasy, Horror, Mystery, Romance, Thriller"
147,"Action, Drama, Fantasy, Horror"
148,"Action, Crime, Drama, Horror, Thriller"
149,"Action, Crime, Fantasy, Horror, Mystery, Thriller"
150,"Crime, Documentary, Horror, Thriller"
151,"Action, Crime, Horror"
152,"Fantasy, History, Horror"
153,"Fantasy, Horror, Western"
154,"Action, Comedy, Crime, Horror"
155,"Comedy, Horror, TV Movie"
156,"Adventure, Horror, Science Fiction"
157,"Drama, Horror, Mystery, Science Fiction"
158,"Fantasy, Horror, Romance"
