id,title,popularity,vote_count,vote_average,runtime,language_id,genre_id,release_date
1,Orphan: First Kill,5088584,902,69,99,1,1,2022-07-27
2,Beast,2172338,584,71,93,1,2,2022-08-11
3,Smile,1863628,114,68,115,1,3,2022-09-23
4,The Black Phone,1071398,2736,79,103,1,1,2022-06-22
5,Presences,1020995,83,7,77,2,4,2022-09-07
6,Sonríe,939712,1,1,77,2,1,2022-08-18
7,Jeepers Creepers: Reborn,821605,125,58,88,1,3,2022-09-15
8,Nope,733112,1684,7,130,1,5,2022-07-20
9,Hunting Ava Bravo,574832,73,65,90,1,6,2022-04-01
10,X,54367,1035,68,106,1,3,2022-03-17
11,The Exorcism of God,537252,637,73,98,1,4,2022-03-11
12,The Jack in the Box: Awakening,527579,157,64,89,1,4,2022-02-24
13,Torn Hearts,525876,39,61,97,1,7,2022-05-20
14,The Cellar,513757,257,66,94,1,8,2022-03-25
15,My Best Friend's Exorcism,501921,43,61,96,1,9,2022-09-29
16,Day Shift,449683,1129,69,113,1,10,2022-08-10
17,Beneath the Surface,41234,50,69,93,1,11,2022-04-01
18,Shut In,399436,224,72,90,1,1,2022-03-24
19,The Grandmother,381305,272,59,100,2,12,2022-01-28
20,Dahmer,37839,220,52,101,1,12,2002-06-21
21,Titanic 666,372136,98,6,91,1,1,2022-04-15
22,Visitor,358179,7,61,99,2,4,2021-02-11
23,Halloween Kills,315027,1941,67,105,1,1,2021-10-14
24,Incantation,313282,339,69,111,3,4,2022-03-18
25,Veneciafrenia,302239,133,61,100,2,4,2022-04-22
26,Texas Chainsaw Massacre,293443,958,53,83,1,1,2022-02-18
27,Scream,291196,1732,67,114,1,3,2022-01-12
28,Valley of the Dead,276369,201,63,101,2,13,2020-10-08
29,Halloween Ends,270269,2,10,111,1,3,2022-10-12
30,Smile,266502,16,39,119,4,1,2009-08-28
31,Orphan,265858,4403,7,123,1,3,2009-07-24
32,See for Me,254809,110,61,92,1,14,2022-01-07
33,Bring It On: Cheer or Die,253614,34,62,77,1,15,2022-09-27
34,No Exit,252675,750,7,96,1,3,2022-02-25
35,They/Them,24932,105,53,101,1,1,2022-07-24
36,The Requin,248496,191,47,89,1,1,2022-01-28
37,Jeepers Creepers 3,246189,692,49,100,1,3,2017-09-26
38,The Conjuring: The Devil Made Me Do It,24613,4689,76,111,1,3,2021-05-25
39,Resident Evil: Welcome to Raccoon City,245332,1831,61,107,1,16,2021-11-24
40,Shark Bait,242754,163,6,87,1,17,2022-05-13
41,The Addams Family 2,241156,953,71,93,1,18,2021-10-01
42,It Chapter Two,230451,7221,69,170,1,19,2019-09-04
43,She Will,229223,24,56,95,1,20,2022-07-15
44,Studio 666,227919,106,63,106,1,21,2022-02-24
45,The Last Zombie,226,3,57,85,2,4,2021-12-02
46,The Passenger,220766,25,64,90,2,4,2022-06-03
47,WarHunt,215537,60,51,93,1,22,2022-01-21
48,The Unholy,207113,1737,67,99,1,8,2021-03-31
49,Goodnight Mommy,198775,159,62,91,1,20,2022-09-16
50,Virus:32,198632,155,72,90,2,4,2022-04-21
51,The Forever Purge,198269,1904,72,103,1,23,2021-06-30
52,Don't Breathe 2,196003,1847,73,98,1,1,2021-08-12
53,Jeepers Creepers,195983,2395,64,90,1,1,2001-07-01
54,Roald Dahl's The Witches,192006,2331,64,106,1,24,2020-10-25
55,Ripper Untold,187478,107,62,85,1,4,2021-06-28
56,V for Vengeance,185965,49,68,85,1,25,2022-06-07
57,The Conjuring,173527,9735,75,112,1,1,2013-07-18
58,Jeepers Creepers 2,169063,1287,61,104,1,4,2003-08-08
59,The Invitation,168001,176,63,105,1,1,2022-08-24
60,Dark Cloud,167344,60,66,81,1,26,2022-05-09
61,Queen of Spades,164687,66,66,91,1,4,2021-06-11
62,Living with Chucky,163646,2,2,105,1,27,2022-08-13
63,The Hunting,163448,28,49,91,1,4,2022-01-21
64,Bull Shark,161874,52,55,80,1,1,2022-02-05
65,Halloween,158374,3974,65,106,1,1,2018-10-18
66,A Quiet Place Part II,153956,4721,76,97,1,26,2021-05-21
67,Paranormal Activity: Next of Kin,149767,426,64,98,1,3,2021-10-29
68,Old,148823,3080,65,108,1,3,2021-07-21
69,Black Water: Abyss,147567,351,51,98,1,28,2020-07-09
70,Dark Spell,14699,120,68,92,5,29,2021-02-11
71,The House,14557,740,7,97,1,30,2022-01-14
72,The Haunting of Helena,142934,129,55,87,1,1,2013-01-14
73,Naruto Shippuden the Movie: Blood Prison,142096,404,72,108,6,31,2011-07-30
74,Bride of Chucky,139831,1495,6,89,1,9,1998-10-16
75,Sonríe,138633,1,2,77,7,4,2012-10-23
76,Wrong Turn 3: Left for Dead,138012,904,56,91,1,1,2009-10-20
77,Tarumama,137971,27,45,90,2,12,2021-07-29
78,The Conjuring 2,13718,7061,73,134,1,1,2016-06-08
79,World War Z,131399,13440,68,116,1,32,2013-06-20
80,The Nun,131032,5393,58,96,1,3,2018-09-05
81,The Legacy of Chucky,12864,12,64,10,1,27,2021-07-25
82,Two,127062,266,54,71,2,1,2021-07-23
83,A Haunted House 2,125807,1126,6,87,1,9,2014-04-17
84,Wrong Turn 4: Bloody Beginnings,125455,857,57,93,1,1,2011-10-17
85,Wrong Turn 2: Dead End,123581,1084,6,96,1,1,2007-08-25
86,Mal de Ojo,122085,4,33,77,2,4,2022-09-22
87,Chucky's Vacation Slides,119795,7,63,3,1,9,2005-06-07
88,Constantine,119677,5863,7,121,1,33,2005-02-08
89,Antlers,119584,782,63,99,1,34,2021-10-28
90,Wrong Turn,119017,804,6,110,1,1,2021-01-26
91,Hidden,11732,712,68,83,1,1,2015-09-15
92,The Meg,116512,6068,62,113,1,16,2018-08-09
93,Cult of Chucky,116318,959,58,91,1,1,2017-10-23
94,The Addams Family,116021,1851,66,86,1,35,2019-10-10
95,The Deep House,115268,717,63,81,1,4,2021-06-30
96,Wrong Turn 5: Bloodlines,112707,750,54,91,1,1,2012-10-23
97,Meander,112295,284,6,91,8,36,2021-05-26
98,Fear Street: 1994,111397,1708,68,107,1,37,2021-06-28
99,Demonic,11083,153,49,104,1,38,2021-07-29
100,Legion,110404,2190,58,100,1,33,2010-01-21
